Level	Date and Time	Source	Event ID	Task Category
Information	30-07-2019 09:03:09	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\king.com.CandyCrushFriends_1.15.13.0_x86__kgqvnymyfvs32\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Warning	30-07-2019 09:00:58	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	30-07-2019 09:00:37	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	30-07-2019 08:58:17	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	30-07-2019 08:57:48	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9NCBCSZSJRSB-SpotifyAB.SpotifyMusic
Warning	30-07-2019 08:57:44	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	30-07-2019 08:57:41	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9NCBCSZSJRSB-SpotifyAB.SpotifyMusic
Information	30-07-2019 08:57:33	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\SpotifyAB.SpotifyMusic_1.110.540.0_x86__zpdnekdrzrea0\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:55:11	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:55:01	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9WZDNCRFHVFW-Microsoft.BingNews
Information	30-07-2019 08:55:01	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:55:01	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRFHVFW-Microsoft.BingNews
Warning	30-07-2019 08:54:55	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	30-07-2019 08:54:49	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9WZDNCRFHVN5-MICROSOFT.WINDOWSCALCULATOR
Information	30-07-2019 08:54:47	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.BingNews_4.31.11905.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:54:43	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:54:43	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRFHVN5-MICROSOFT.WINDOWSCALCULATOR
Information	30-07-2019 08:54:43	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9WZDNCRFJBBG-MICROSOFT.WINDOWSCAMERA
Warning	30-07-2019 08:54:39	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	30-07-2019 08:54:35	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRFJBBG-MICROSOFT.WINDOWSCAMERA
Warning	30-07-2019 08:54:25	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	30-07-2019 08:54:24	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsCalculator_10.1905.30.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:54:24	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsCamera_2019.425.30.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:54:23	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:54:23	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9NBLGGH10PG8-MICROSOFT.PEOPLE
Information	30-07-2019 08:54:12	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9NBLGGH10PG8-MICROSOFT.PEOPLE
Information	30-07-2019 08:54:04	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.People_10.1902.633.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:53:57	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:53:51	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:53:51	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:53:51	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9NBLGGH537C2-Microsoft.XboxGameOverlay
Information	30-07-2019 08:53:44	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:53:44	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9NBLGGH537C2-Microsoft.XboxGameOverlay
Information	30-07-2019 08:53:44	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9NBLGGH4QGHW-Microsoft.MicrosoftStickyNotes
Information	30-07-2019 08:53:30	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:53:28	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9NBLGGH4QGHW-Microsoft.MicrosoftStickyNotes
Information	30-07-2019 08:53:28	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9N5TDP8VCMHS-Microsoft.WebMediaExtensions
Information	30-07-2019 08:53:23	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.XboxGameOverlay_1.43.26001.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:53:19	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.MicrosoftStickyNotes_3.6.76.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:53:17	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9N5TDP8VCMHS-Microsoft.WebMediaExtensions
Information	30-07-2019 08:53:10	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WebMediaExtensions_1.0.13321.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Warning	30-07-2019 08:53:09	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	30-07-2019 08:53:07	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:53:07	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9WZDNCRFHWKN-MICROSOFT.WINDOWSSOUNDRECORDER
Information	30-07-2019 08:52:51	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRFHWKN-MICROSOFT.WINDOWSSOUNDRECORDER
Information	30-07-2019 08:52:41	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsSoundRecorder_10.1902.633.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:52:39	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:52:39	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9WZDNCRDTBVB-MICROSOFT.WINDOWSMAPS
Information	30-07-2019 08:52:32	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:52:32	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRDTBVB-MICROSOFT.WINDOWSMAPS
Information	30-07-2019 08:52:32	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9NZKPSTSNW4P-Microsoft.XboxGamingOverlay
Information	30-07-2019 08:52:21	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:52:21	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9NZKPSTSNW4P-Microsoft.XboxGamingOverlay
Information	30-07-2019 08:52:21	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9NBLGGH5PNB1-Microsoft.OneConnect
Information	30-07-2019 08:52:14	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsMaps_5.1902.843.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:52:10	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9NBLGGH5PNB1-Microsoft.OneConnect
Information	30-07-2019 08:52:02	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.XboxGamingOverlay_1.16.1012.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:52:01	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.OneConnect_5.1906.1791.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:51:48	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:51:45	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9WZDNCRFJ364-MICROSOFT.SKYPEAPP
Warning	30-07-2019 08:51:24	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	30-07-2019 08:51:22	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:51:22	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRFJ364-MICROSOFT.SKYPEAPP
Information	30-07-2019 08:51:22	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9WZDNCRFJBH4-Microsoft.Windows.Photos
Warning	30-07-2019 08:51:19	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	30-07-2019 08:51:07	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:51:07	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRFJBH4-Microsoft.Windows.Photos
Information	30-07-2019 08:51:07	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9WZDNCRFJBMP-MICROSOFT.WINDOWSSTORE
Information	30-07-2019 08:51:03	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.SkypeApp_14.50.38.0_x64__kzf8qxf38zg5c\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:50:57	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRFJBMP-MICROSOFT.WINDOWSSTORE
Information	30-07-2019 08:50:55	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.Photos_2019.19051.16210.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:50:49	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsStore_11906.1001.18.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:49:48	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:49:48	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9WZDNCRFJ3PR-MICROSOFT.WINDOWSALARMS
Information	30-07-2019 08:49:26	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRFJ3PR-MICROSOFT.WINDOWSALARMS
Information	30-07-2019 08:49:26	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9NBNPFNSWTGB-Microsoft.UI.Xaml.2.1
Information	30-07-2019 08:49:21	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9NBNPFNSWTGB-Microsoft.UI.Xaml.2.1
Information	30-07-2019 08:49:14	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsAlarms_10.1903.1006.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:48:27	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:48:27	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9NBLGGH4LS1F-Microsoft.StorePurchaseApp
Information	30-07-2019 08:48:20	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:48:14	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:48:14	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:48:14	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:48:14	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:48:11	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9NBLGGH4LS1F-Microsoft.StorePurchaseApp
Information	30-07-2019 08:48:11	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: ApplicationSet-CFQ7TTC0K56C-Microsoft.Office.Desktop
Warning	30-07-2019 08:47:48	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	30-07-2019 08:47:45	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	30-07-2019 08:47:42	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	30-07-2019 08:47:33	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: ApplicationSet-CFQ7TTC0K56C-Microsoft.Office.Desktop
Information	30-07-2019 08:47:30	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.StorePurchaseApp_11906.1001.16.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:47:21	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:47:20	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Office.Desktop.Excel_16051.11727.20244.0_x86__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:47:14	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.UI.Xaml.2.1_2.11906.6001.0_x86__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:46:59	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.UI.Xaml.2.1_2.11906.6001.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:46:22	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Office.Desktop.Publisher_16051.11727.20244.0_x86__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:44:15	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Office.Desktop_16051.11727.20244.0_x86__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:42:46	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Wallet_2.2.18065.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Warning	30-07-2019 08:41:51	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	30-07-2019 08:41:19	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	30-07-2019 08:41:19	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 9WZDNCRFJBD8-Microsoft.XboxApp
Warning	30-07-2019 08:41:13	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	30-07-2019 08:41:07	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 9WZDNCRFJBD8-Microsoft.XboxApp
Information	30-07-2019 08:40:53	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.XboxApp_48.55.24001.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:40:52	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Office.Desktop.Access_16051.11727.20244.0_x86__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Warning	30-07-2019 08:40:47	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	30-07-2019 08:40:14	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Office.Desktop.Outlook_16051.11727.20244.0_x86__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:39:42	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Office.Desktop.PowerPoint_16051.11727.20244.0_x86__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	30-07-2019 08:37:43	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Office.Desktop.Word_16051.11727.20244.0_x86__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Warning	30-07-2019 08:37:08	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	30-07-2019 08:36:41	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	30-07-2019 08:35:36	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	30-07-2019 08:34:59	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	30-07-2019 08:34:24	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	30-07-2019 08:30:46	McAfee Service Controller	1	None	The mmscom MMS Service entered the running state.
Information	30-07-2019 08:30:46	McAfee Service Controller	1	None	The mcproxy MMS Service entered the running state.
Information	30-07-2019 08:30:46	McAfee Service Controller	1	None	The mcpltsvc MMS Service entered the running state.
Information	30-07-2019 08:30:46	McAfee Service Controller	1	None	The mcbootdelaystartsvc MMS Service entered the running state.
Information	30-07-2019 08:30:46	McAfee Service Controller	1	None	The homenetsvc MMS Service entered the running state.
Information	30-07-2019 08:30:45	McAfee Service Controller	2	None	The msk80service MMS Service entered the stopped state.
Information	30-07-2019 08:30:45	McAfee Service Controller	1	None	The msk80service MMS Service entered the running state.
Information	30-07-2019 08:30:31	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\karthikeyaram\AppData\Local\Packages\dellinc.dellsupportassistforpcs_htrsf667h5kn2\AC\GEH\POF.dat was cleared updating 5 keys and creating 1 modified pages.
Information	30-07-2019 08:30:12	McAfee Service Controller	1	None	The mfecore MMS Service entered the running state.
Information	30-07-2019 08:30:11	McAfee Service Controller	1	None	The mfeavsvc MMS Service entered the running state.
Information	30-07-2019 08:30:11	McAfee Service Controller	7	None	"A service was created with MFEMMS:  Service Name: mfeavsvc Service BinaryPath: ""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe"" Service Type: SERVICE_TYPE_MMS Service Power Profile: POWERPROFILE_NORMAL Service Depends On: mfevtp  Service Restart Period: 1800 Service Restart Count: 5 Service Restart Delay: 5 Service Group Account: LocalSystem Service Startup Profile: SERVICE_START_EARLY"
Information	30-07-2019 08:30:10	McAfee Service Controller	2	None	The mfecore MMS Service entered the stopped state.
